Variable,Description
FRDINTEL,Desir qualities of friend: intelligent
FRDRESP,Desir qualities of friend: responsible
IMPFINAN,Imp to R of financial security
IMPMAR,Imp to R of being married
IMPKIDS,Imp to R of having children
IMPGOD,Imp to R of having faith in god
IMPTHNGS,Imp to R of having nice things
IMPCULTR,Imp to R of being cultured
IMPJOB,Imp to R of having a fulfilling job
IMPSELF,Imp to R of being self-sufficient
MOSTIMP1,Most imp event in Lst 60 yrs
MOSTIMP2,2nd most imp event in Lst 60 yrs
MOSTIMP3,3rd imp event in Lst 60 yrs
MOSTIMP4,4th imp event in Lst 60 yrs
COLMAJR1,R major in college
COLMAJR2,R 2nd major in college
HSCLASS1,R favorite subject in hs
HSCLASS2,R 2nd favorite subject in hs
MALIVE1,R mother alive
MAYRBORN,Yr R mother born
MAYRDIED,Yr R mother died
PALIVE1,R father alive
PAYRBORN,Yr R father born
PAYRDIED,Yr R father died
DATESCH,Date schooling completed
NEVERWK,R never worked full-time after school
OCCFIRST,R first occupation
PRESFRST,Prestige of R first job
WRKSLFST,R 1st job: self-employed or no?
INDFIRST,Industry of R first job
DATEFRST,Month and yr began first job
ALIKE1,How alike: orange & banana
ALIKE2,How alike: dog & lion
ALIKE3,How alike: eye & ear
ALIKE4,How alike: egg & seed
ALIKE5,How alike: table & chair
ALIKE6,How alike: work & play
ALIKE7,How alike: fly & tree
ALIKE8,How alike: praise & punishment
MARNUM,R married more than once?
FSTSPYR,Year first spouse born
FSTSPEDC,Educ of first spouse
FSTSPDEG,Highest degree of first spouse
FSTSPPED,1st spouse's Father's highest yr of school
FSTSPMED,1st spouse's Mothers highest yr of school
AGEWEDCR,R's age at current marriage
SPYRBORN,Birth yr of current spouse
SPMARNUM,Has current spouse been married before?
SPFAM16,Did spouse live at home at age 16?
SPPAEDUC,Highest schl grade spouse's father completed
SPMAEDUC,Highest schl grade spouse's mother completed
SPHEDOCC,Spouse's Father's occ when spouse was 16
SPHEDPRE,Spouse's Father's occ pres when spouse was 16 (1980)
SPHEDSLF,Spouse's father self-emp when spouse was 16?
SPHEDIND,Spouse's Father's ind when spouse was 16
SPHEDOCC10,Spouse's Father's occ when spouse was 16 (2010)
SPHEDOCCINDV,Spouse's Father's occ/ind verbatim retrieved
SPHEDOCCSTATUS,SPHEDOCC10 coding status
SPHEDOCCTAG,SPHEDOCC10 coding tag
SPHEDIND10,Spouse's Father's ind when spouse was 16 (2010)
SPHEDINDSTATUS,SPHEDIND10 coding status
SPHEDINDTAG,SPHEDIND10 coding tag
SPHEDPRE10,Spouse's Father's occ pres when spouse was 16 (2010)
SPHEDPRE105PLUS,Spouse's Father's occ pres when spouse was 16 using threshold method (2010)
SPSIBS,No of siblings spouse has
KDSEX1,Sex of R 1st child
KDSEX2,Sex of R 2nd child
KDSEX3,Sex of R 3rd child
KDSEX4,Sex of R 4th child
KDSEX5,Sex of R 5th child
KDSEX6,Sex of R 6th child
KDSEX7,Sex of R 7th child
KDSEX8,Sex of R 8th child
KDSEX9,Sex of R 9th child
KDYRBRN1,Birth year of R 1st child
KDYRBRN2,Birth year of R 2nd child
KDYRBRN3,Birth year of R 3rd child
KDYRBRN4,Birth year of R 4th child
KDYRBRN5,Birth year of R 5th child
KDYRBRN6,Birth year of R 6th child
KDYRBRN7,Birth year of R 7th child
KDYRBRN8,Birth year of R 8th child
KDYRBRN9,Birth year of R 9th child
KDREL1,R relation to R 1st child
KDREL2,R relation to R 2nd child
KDREL3,R relation to R 3rd child
KDREL4,R relation to R 4th child
KDREL5,R relation to R 5th child
KDREL6,R relation to R 6th child
KDREL7,R relation to R 7th child
KDREL8,R relation to R 8th child
KDREL9,R relation to R 9th child
KDALIVE1,R 1st child alive?
KDALIVE2,R 2nd child alive?
KDALIVE3,R 3rd child alive?
KDALIVE4,R 4th child alive?
KDALIVE5,R 5th child alive?
KDALIVE6,R 6th child alive?
KDALIVE7,R 7th child alive?
KDALIVE8,R 8th child alive?
KDALIVE9,R 9th child alive?
KDEDUC1,Highest schl grade of R 1st child
KDEDUC2,Highest schl grade of R 2nd child
KDEDUC3,Highest schl grade of R 3rd child
KDEDUC4,Highest schl grade of R 4th child
KDEDUC5,Highest schl grade of R 5th child
KDEDUC6,Highest schl grade of R 6th child
KDEDUC7,Highest schl grade of R 7th child
KDEDUC8,Highest schl grade of R 8th child
KDEDUC9,Highest schl grade of R 9th child
KDPICKED,Number of child randomly chosen
KDWORK1,Does R child do paid work?
KDWORK2,Does R child do paid or unpaid work?
KDEVWORK,Did R child work for 1 or more yr?
KDOCC80,R child census occupation code (1980)
KDPRES80,R child occupational prestige score (1980)
KDWRKSLF,R child self-employed?
KDIND80,R child industry code (1980)
KDOCC10,R child census occupation code (2010)
KDOCCINDV,Kid's occ/ind verbatim retrieved
KDOCCSTATUS,KDOCC10 coding status
KDOCCTAG,KDOCC10 coding tag
KDIND10,R child census industry code (2010)
KDINDSTATUS,KDIND10 coding status
KDINDTAG,KDIND10 coding tag
KDPRES10,R child occupational prestige score (2010)
KDPRES105PLUS,R child occupational prestige score using threshold method (2010)
SBSEX1,Sex of R 1st sibling
SBSEX2,Sex of R 2nd sibling
SBSEX3,Sex of R 3rd sibling
SBSEX4,Sex of R 4th sibling
SBSEX5,Sex of R 5th sibling
SBSEX6,Sex of R 6th sibling
SBSEX7,Sex of R 7th sibling
SBSEX8,Sex of R 8th sibling
SBSEX9,Sex of R 9th sibling
SBYRBRN1,Birth year of R 1st sibling
SBYRBRN2,Birth year of R 2nd sibling
SBYRBRN3,Birth year of R 3rd sibling
SBYRBRN4,Birth year of R 4th sibling
SBYRBRN5,Birth year of R 5th sibling
SBYRBRN6,Birth year of R 6th sibling
SBYRBRN7,Birth year of R 7th sibling
SBYRBRN8,Birth year of R 8th sibling
SBYRBRN9,Birth year of R 9th sibling
SBREL1,R relation to R 1st sibling
SBREL2,R relation to R 2nd sibling
SBREL3,R relation to R 3rd sibling
SBREL4,R relation to R 4th sibling
SBREL5,R relation to R 5th sibling
SBREL6,R relation to R 6th sibling
SBREL7,R relation to R 7th sibling
SBREL8,R relation to R 8th sibling
SBREL9,R relation to R 9th sibling
SBALIVE1,R 1st sibling alive?
SBALIVE2,R 2nd sibling alive?
SBALIVE3,R 3rd sibling alive?
SBALIVE4,R 4th sibling alive?
SBALIVE5,R 5th sibling alive?
SBALIVE6,R 6th sibling alive?
SBALIVE7,R 7th sibling alive?
SBALIVE8,R 8th sibling alive?
SBALIVE9,R 9th sibling alive?
SBPICKED,Number of sibling randomly chosen
SBEDUC,Highest schl grade of selected R sibling
SBDEG,Highest schl grade of selected R sibling
SBWORK1,Does R sibling do paid work?
SBWORK2,Does R sibling do paid or unpaid work?
SBEVWORK,Did R sibling work for 1 or more yr?
SBOCC80,R sibling census occupation code (1980)
SBPRES80,R sibling occupational prestige score (1980)
SBWRKSLF,R sibling self-employed?
SBIND80,R sibling industry code (1980)
SBOCC10,R sibling census occupation code (2010)
SBOCCINDV,Sibling's occ/ind verbatim retrieved
SBOCCSTATUS,SBOCC10 coding status
SBOCCTAG,SBOCC10 coding tag
SBIND10,R sibling industry code (2010)
SBINDSTATUS,SBIND10 coding status
SBINDTAG,SBIND10 coding tag
SBPRES10,R sibling occupational prestige score (2010)
SBPRES105PLUS,R sibling occupational prestige score using threshold method (2010)
ETHID,R American vs ethnic identity
AMISSUE,Degree R invokes just American identity
ETHISSUE,Degree R invokes ethnic identity
ETHID1,R primary identity as ethnic or American
AMISSUE1,Degree R invokes primary identity as American
ETHISSU1,Degree R invokes primary identity as ethnic
AMRANK,American quality of life vs other indus. nations
AMPROUD,R pride in being American
MELTPOT,R attitude toward mixing cultures in us
GVTAPART,Should govt policy maintain distinct cultures
GVTMELT,Should govt help blend cultures
ETHORGS,Do ethnic orgs promote separatism
ETHSPKOK,Allow free speech offensive to ethnic groups
ETHSPKNO,Ban opinions harmful to other groups
SYMPTBLK,R feel sympathy towards blacks
ADMIRBLK,R express admiration for blacks
BILINGED,Support or oppose bilingual education
ENGTEACH,Opinion on teaching classes only in English
ENGBALLT,Attitude toward printing ballots only in English
ENGOFFCL,Favor law making English the official language
LETIN,Increase or decrease immigrants to us
HSPASN10,Change in ethnic status in local community
IMMECON,Will immigrants lead to economic growth
IMMUNEMP,Will immigrants fuel unemployment
IMMUNITE,Will immigrants affect national unity
IMMFARE,Immigrants eligible for govt assistance?
UNDOCWRK,Should illegal immigrants get work permits?
UNDOCCOL,Illegal immigrants access to public univeR'sities?
UNDOCKID,Us citizenship for children of illegal immigrants
IMMPUSH,Are immigrants demanding too many rights?
IMMWRKUP,Should immigrants overcome bias without help
COLAFF,Chance blacks get to college ahead of whites
COLAFFY,Chance whites excluded from college over blacks
DISCAFFY,Chance blacks promoted ahead of whites
JOBAFF,Favor preferences in hiring blacks
OWNETH,Do ethic politicians serve ethnic groups better
CONGETH,Should ethnic congressmen represent ethnic groups
TEACHETH,Ethnicity of college faculty reflect students
SCHLETH,Ethnicity or professional schools mirror students
ETHHIST,Minority history adequately taught in school
WHOTEACH,Should only minorities teach minority history
WHTGOVT,Do whites get proper govt attention
BLKGOVT,Do blacks get proper govt attention
HSPGOVT,Do Hispanic-Americans get proper govt attention
ASNGOVT,Do Asian-Americans get proper govt attention
WLTHIMM,Are legal immigrants rich or poor
WLTHUNDC,Are illegal immigrants rich or poor
WORKIMM,Are legal immigrants hard working
WORKUNDC,Are illegal immigrants hard working
OBRESPCT,Teach children respect for authority and obedience
ECONPAST,Has national economy improved last year
PASTUP,Degree of improvement in national economy
PASTDOWN,Degree national economy has gotten worse
ECONFUTR,Predictions for national economy in next year
FUTRUP,Degree economy will improve in next year
FUTRDOWN,Degree economy will get worse over next year
RDISCAFF,Chances family member not promoted for other race
RIMMDISC,Chances illegal immigrants favored over family
ROMANCE,Do you have a main romantic involvement
LIVEWITH,Do you live together?
HAPROM,Describe your romantic relationship?
WILLWED1,How likely you two will get married?
WILLWED2,If right person would you marry?
HAPGIRLS,Girls' chances for a happy family life
HAPBOYS,Boys' chances for a happy family life
FEJOBAFF,For or against preferential hiring of women
TRADMOD,Man alone-both responsible for providing income
SHARESEP,Man and woman do things together-separate
EMOTEOTH,Man and woman emotionally dependent-independent
RHMEWRK,How much housework R does
SPHMEWRK,How much housework r's spouse does
FAIRHWRK,Division of work unfair to you or spouse
EARNMORE,Who earns more money?
FAMLIFE,How successful in family life
WORKLIFE,How successful in work life
BALWKFAM,How successful balancing work & family
REFPROMO,Refuse a job promotion?
REFMORWK,Take on additional paid work?
REFXHOUR,Refuse to work overtime or extra hours?
WORKLESS,Cut back on your work?
NOATHOME,Miss a family occasion or holiday?
NONURSE,Unable to care for a sick child-relative?
NOHMEWRK,Unable to do the work around the house?
DISCAFFM,A man won't get a job or promotion
DISCAFFW,A woman won't get a job or promotion
FLEXTIME,Allow workers more flexible hours
PARLEAVE,Offer paid time off to new parents.
MENBEN,Men benefit from traditional family
WOMENBEN,Women benefit from traditional family
CHLDBEN,Children benefit from traditional family
ALLBEN,Everyone benefit from traditional family
NOONEBEN,No one benefit from traditional family
MENHRT,Men hurt from traditional family
WOMENHRT,Women hurt from traditional family
CHLDHRT,Children hurt from traditional family
ALLHRT,Everyone hurt from traditional family
NOONEHRT,No one hurt from traditional family
FELESS1,How important men work harder explain
FELESS2,How important women's family responsibilities
FELESS3,How important give men better paying jobs
FEKIDS1,How important women biologically better-suited
FEKIDS2,How important women are taught from childhood
FEKIDS3,How important the way society is set up
FEKIDS4,How important men have more freedom
FEKIDS5,How important it is god's will
MEBEAR,Can husband refuse to sire children
FEHIRE,Should hire and promote women
FEMINIST,Think yourself as a feminist?
FENEWS,How often pay attention to women issues
HMEMAKER,Full-time homemakeR's lives improved
WRKCLASS,Working-class women's lives improved
MANPROF,Professional women's lives improved
MEN,Men's lives improved
CHILDREN,Children's lives improved
YOURSELF,R's life improved
SHAKEBLU,Felt that couldn't shake the blues?
CALM,Felt calm?
OUTRAGED,Felt outraged at something somebody
HAPFEEL,Felt happy?
SAD,Felt sad?
ASHAMED,Felt ashamed of something you'd done?
EXCITED,Felt excited or interested in something?
LONELY,Felt lonely?
FEARFUL,Felt fearful about something
OVRJOYED,Felt overjoyed about something?
WORRIED,Felt worried?
CONTENTD,Felt contented?
ANXIOUS,Felt anxious and tense?
RESTLESS,Felt restless?
MADAT,Felt mad at something or someone?
ATEASE,Felt at ease?
ANGRY,Felt angry at someone?
EMBARRSS,Felt embarrassed about something?
PROUD,Felt proud of something you'd done?
NOPLAN,There's no sense planning a lot
BADBRKS,Most of my problems are due to bad breaks.
MOSTLUCK,Good things are mostly luck.
LITCNTRL,I have little control over the bad things
SHOWANGR,When i'm angry i let people know.
SHOWFEEL,I'm not afraid to show my feelings.
NOEMOTE,I keep my emotions to myself.
NOTUPSET,Don't tell friends something upsetting
BEPLESNT,I try to be pleasant so not to upset oth.
NOTWORRY,"When anxious, try not to worry anyone else."
ANGRYWRK,Last time R felt really angry
ANGRYFAM,Last time R felt really angry
ANGRYGVT,Last time R felt really angry
ANGRYWHY,Last time R felt really angry
ANGRYEV,Was an event recalled?
WHNANGRY,How long ago did this event happen?
MADAT1,Angry at my husband-wife etc
MADAT2,Angry at son
MADAT3,Angry at daughter
MADAT4,Angry at mother
MADAT5,Angry at father
MADAT6,Angry at sister
MADAT7,Angry at brother
MADAT8,Angry at another family member
MADAT9,Angry at a friend
MADAT10,Angry at an acquaintance
MADAT11,Angry at a neighbor
MADAT12,Angry at my boss
MADAT13,Angry at a co-worker
MADAT14,Angry at subordinate
MADAT15,Angry at a customer or client
MADAT16,Angry at someone else at work
MADAT17,Angry at government employee
MADAT18,Angry at someone to provide a service
MADAT19,Angry at public figure
MADAT20,Angry at stranger (include crowds)
MADAT21,Angry at self
MADAT22,"Angry at an object, circumstances, etc"
MADAT23,Angry at other
HOWANGRY,How intense would you say your anger was
ANGRLAST,How long did your anger last?
THNKANGR,How often thought about this situation
CHNANG1,Think about the situation
CHNANG2,Had a drink or took a pill
CHNANG3,Talked to the person i was angry at
CHNANG4,Talked to someone else
CHNANG5,Tried to forget it
CHNANG6,Tried to change the situation
CHNANG7,Prayed for help from god
CHNANG8,Fantasized about a magical solution
CHNANG9,Went out to get some exercise
CHNANG10,Yelled or hit something
CHNANG11,Waited for feelings to pass
CHNANG12,Tried to accept the situation
CHNANG13,Left the situation
CHNANG14,Thought about how to get revenge
CHNANG15,Planned how to end the relationship
CHNANG16,Other (specify)
REACTOK,Did R feel reaction was appropriate
OTHRESP,How reSP. person who you were angry at?
SELFRESP,How reSP. do you feel for the situation?
LIKEOTH,How much do you like or dislike the person
AMIMP,How important is being an American to you
NOTAM,"If not American, how much change"
USWORRY,How often do you feel worried for us?
USSAT,Thinking us how often feel satisfied
USFRUSTR,Thinking us how often feel frustrated?
USENTHUS,Thinking us how often feel enthusiastic?
USANGRY,Thinking us how often feel angry
USHOPEFL,Thinking us how often feel hopeful?
USUPSET,Thinking us how often feel upset?
CARPRIVT,Have you purchased a used car past 5 yrs?
RELPRIVT,Relationship to the seller of the vehicle
WARRNTYC,Did the seller provide a warranty?
CARDEALR,Purchased a car from a dealership past 5 yrs?
NEWUSED,Was the car new or used?
TYPDEALR,Rwas the agency a new or used car dealeR'ship?
CARBUYA,R's own previous knowledge made R buy
CARBUYB,A friend or relative recommended R buy
CARBUYC,An acquaintance recommended R buy
CARBUYD,General reputation made R buy
CARBUYE,R saw their advertisement
CARBUYF,R searched for the best price
CARBUYG,Convenience made R buy
CARBUY1,What was the most important reason?
RELDEALR,R relationship to the salesperson
SATCAR,How satisfied are you with your purchase?
EVBUYHME,Have you ever purchased a home
HOMEYEAR,Rmost recent home you have purchased.
LEARNHME,How learned the availability of the home
NEWOWNED,Was the home new or previously owned?
RELHOME,Relationship to the previous owner of the home
WHOSOLD,Describe your purchase
REALTORA,R's own previous knowledge made R choose
REALTORB,A friend-relative recommended R choose
REALTORC,An acquaintance recommended R choose
REALTORD,General reputation made R choose
REALTORE,I saw their advertisement made R choose
REALTORF,Convenience made R choose the realtor
REALTOR1,What was the most important reason?
RELAGENT,Your relationship to the real estate agent
WARRNTYH,Did the seller provide any warranty
SATHOME,How satisfied with your purchase
LAWYER,Hired a lawyer in the past 10 yrs?
LAWYERA,My own previous knowledge of the firm
LAWYERB,A friend or relative recommended them
LAWYERC,An acquaintance recommended them.
LAWYERD,General reputation in the community
LAWYERE,I saw their advertisement
LAWYERF,I searched for the best price.
LAWYERG,Convenience
LAWYER1,What was the most important reason?
RELLAW,Relationship to the attorney
SATLAWYR,How satisfied with the legal services
FIXHOME,Home maintenance services past 10 years?
FIXERA,My own previous knowledge of the firm
FIXERB,A friend or relative recommended them
FIXERC,An acquaintance recommended them.
FIXERD,General reputation in the community
FIXERE,I saw their advertisement
FIXERF,I searched for the best price
FIXER1,What was the most important reason?
RELFIXER,Relationship to the person who did the work
SATFIXES,How satisfied were you with the work
BORROWED,Have you borrowed $100+ from another person
WHOLOAND,From whom did you borrow this money?
SELLBED,Would you rather sell bedroom furniture
SELLAUTO,O would you rather sell an automobile
SELLHOME,E would you rather sell a house-condominium
TRANSOTH,Hwould you be to mention problems
LOANED,Loaned $100+ past 12 months?
LOANEDTO,Oto whom did you lend this money?
BUYBED,Would you buy furniture from a business
BUYAUTO,Would you buy a car from a business
BUYLAW,Would you buy legal svcs from a business
BUYFIXES,Would you buy home maintenance from a business
BUYHOME,Would you buy a house from a business
TRANSREL,How likely to mention problems to relatives
FRNDDEAL,People usually get a better price from friends
FRNDAWK,Discussing price is awkward among friends
TABLPRCE,The factory not lowering price acceptable?
ORGANSB,Which procedures be used to assign the organ
ORGANSW,Which of these procedures would be the worst?
SELLORGN,Should people be permitted to sell a kidney
ADOPTION,Best way to match birth Mothers with adopters?
SELLBABY,Surrogate Mothers should be permitted
SELLSEX,Nothing inherently wrong with prostitution
REQINFO,Resp. of gov. to require biz. to provide info
NATRECON,Natural environments should be left alone
TAGSALES,How frequently do you go to garage sales etc
HAGGLE,Do you expect to negotiate for a lower price?
WKFAMBIZ,Work for pay in a farm etc owned by your family?
HRFAMBIZ,How many hours per week?
FAMBIZ,What kind of business is this?
ECONSYS,Best-needs replaced
FAMFINAN,How you and your spouse organize your finances
DECAUTO,Deciding whether or not to buy an automobile
DECBED,Deciding whether or not to buy bedroom furniture
DECGIFT,Deciding on major charitable gifts.
LAYOFFS,Who has the greatest right to keep their jobs?
VOLHLTH,Done volunteer work in health past 12 mnths
VOLEDUC,Done volunteer work in education
VOLRELIG,Done volunteer work in religious org
VOLHUMAN,Done volunteer work in human services
VOLENVIR,Done volunteer work in environment
VOLPUB,Done volunteer work in pub-soc benefit
VOLREC,Done volunteer work in recreation adults
VOLART,"Done volunteer work in arts, culture, etc"
VOLWORK,Done volunteer work in work-related org
VOLPOL,Done volunteer work in political org. etc
VOLYOUTH,Done volunteer work in youth development
VOLFOUND,Done volunteer work in priv & comm. found
VOLINTL,Done volunteer work in international
VOLINFRM,Done volunteer work in informal-alone
VOLOTH,Done volunteer work in other (specify)___
MONHLTH,Done volunteer work in health past month
MONEDUC,Done volunteer work in education
MONRELIG,Done volunteer work in religious org
MONHUMAN,Done volunteer work in human services
MONENVIR,Done volunteer work in environment
MONPUB,Done volunteer work in pub-soc benefit
MONREC,Done volunteer work in recreation adults
MONART,"Done volunteer work in arts, culture, etc"
MONWORK,Done volunteer work in work-related org
MONPOL,Done volunteer work in political org. etc
MONYOUTH,H done volunteer work in youth development
MONFOUND,Done volunteer work in priv & comm. found
MONINTL,Done volunteer work in international
MONINFRM,Done volunteer work in informal-alone
MONOTH,Done volunteer work in other (specify)
HRSHLTH,How many hours spent in health past month
HRSEDUC,How many hours spent in education
HRSRELIG,How many hours spent in religious org past
HRSHUMAN,How many hours spent in human services
HRSENVIR,How many hours spent in environment
HRSPUB,How many hours spent in pub-soc benefit
HRSREC,How many hours spent in recreation adults
HRSART,"How many hours spent in arts, culture"
HRSWORK,How many hours spent in work-related org
HRSPOL,How many hours spent in political org. etc
HRSYOUTH,How many hours spent in youth development
HRSFOUND,How many hours spent in priv & comm.
HRSINTL,How many hours spent in international
HRSINFRM,How many hours spent in informal-alone
HRSOTH,How many hours spent in other (specify)
GIVHLTH,Contributed money in 1995 in health
GIVEDUC,Contributed money in education
GIVRELIG,Contributed money in religious org
GIVHUMAN,Contributed money in human services
GIVENVIR,Contributed money in environment
GIVPUB,Contributed money in pub-soc benefit
GIVREC,Contributed money in recreation adults
GIVART,"Contributed money in arts, culture, etc"
GIVWORK,Contributed money in work-related org
GIVPOL,Contributed money in political org. etc
GIVYOUTH,Contributed money in youth development
GIVFOUND,Contributed money in priv & comm. found
GIVINTL,Contributed money in international
GIVINFRM,Contributed money in informal-alone
GIVOTH,Contributed money in other (specify)
TOTHLTH,How much money contributed in health
TOTEDUC,How much money contributed in education
TOTRELIG,How much money contributed in religious org
TOTHUMAN,How much money contributed in human services
TOTENVIR,How much money contributed in environment
TOTPUB,How much money contributed in pub-soc benefit
TOTREC,How much money contributed in recreation adults
TOTART,"How much money contributed in arts, culture, etc"
TOTWORK,How much money contributed in work-related org
TOTPOL,How much money contributed in political org. etc
TOTYOUTH,How much money contributed in youth development
TOTFOUND,How much money contributed in priv & comm. found
TOTINTL,How much money contributed in international
TOTINFRM,How much money contributed in informal-alone
TOTOTH,How much money contributed in other (specify)
VALHLTH,Estimated value contributed in health
VALEDUC,Estimated value contributed in education
VALRELIG,Estimated value contributed in religious org
VALHUMAN,Estimated value contributed in human services
VALENVIR,Estimated value contributed in environment
VALPUB,Estimated value contributed in pub-soc benefit
VALREC,Estimated value contributed in recreation adults
VALART,"Estimated value contributed in arts, culture, etc"
VALWORK,Estimated value contributed in work-related org
VALPOL,Estimated value contributed in political org. etc
VALYOUTH,Estimated value contributed in youth development
VALFOUND,Estimated value contributed in priv & comm. found
VALINTL,Estimated value contributed in international
VALINFRM, estimated value contributed in informal-alone
VALOTH,Estimated value contributed in other (specify)
HOMELESS,Contributed to the homeless
NEEDYNEI,Contributed to a needy neighbor.
NEEDYREL,Contributed to a needy relative.
NEEDYFRD,Contributed to a needy friend.
NEEDYOTH,Contributed to other needy person
PROBFIX1,First mention of problem
PROBFIX2,Second mention of problem
PROBFIX3,Third mention of problem
PROBHLP1,First mention to help problem
PROBHLP2,Second mention to help problem
PROBHLP3,Third mention to help problem
VIGVERSN, vignette version number
SERIOUSP,How serious X s situation is
CHARACTR,How likely X s situation caused by bad character
IMBALNCE,How likely X s situation caused by imbalance in brain
WAYRAISE,How likely X s situation caused by the way raised
STRESSES,How likely X s situation caused by stress
GENETICS,How likely X s situation caused by genetic problem
GODSWILL,How likely X s situation caused by god s will
UPSDOWNS,How likely X is experiencing normal ups-and-downs of life
BREAKDWN,How likely X is experiencing nervous breakdown
MENTLILL,How likely X is experiencing mental illness
PHYSILL,How likely X is experiencing physical illness
VIGLABEL,How likely X is experiencing vignettes
DECTREAT,How able is X to decide receive treatment
DECMONEY,How able is X to decide managing own money
IMPRVOWN,How likely X s situation will improve on its own
IMPRVTRT,How likely X s situation will improve with treatment
VIGNEI,How willing R would have X as a neighbor
VIGSOC,How willing R would spend time socializing with X
VIGFRND,How willing R would make friends with X
VIGWORK,How willing R would work closely with X on a job
VIGGRP,How willing R would have a group home for x
VIGMAR,How willing R would have X marry in R's family
HURTOTH,How likely X violent toward other people
HURTSELF,How likely X violent toward oneself
TLKFAM,X should talk to family and friends
TLKCLRGY,X should talk to religious leader
MEDDOC,X should go to general medical doctor for help
MENTLDOC,X should go to psychiatrist for help
MENTLOTH,X should go to other mental health professional for help
SPHEALER,X should go to spiritual healer for help
SELFHELP,X should join a self-group with similar problem
OTCMED,X should take non-prescription medication
RXMED,X should take prescription medication
MENTLHOS,X should check into a mental hospital
DOFIRST,Here are the things you said {#SecL_NAME} should do...  INTERVIEWER: READ LIST  What is the first this/he should do?
ORTLKFM,In what order talk things over with family & friends
ORTLKCLR,"In what order talk to a minister, priest, rabbi etc"
ORMEDDOC,In what order go to a general medical doctor
ORMNTLDC,In what order go to a psychiatrist for help
ORMNTLOT,"In what order go to a therapist, or counselor"
ORHEALER,In what order go to a spiritual or a natural healer
ORSLFHLP,In what order join a self-help group
OROTCMED,In what order take non-prescription medication
ORRXMED,In what order take prescription medication
ORMNTLHS,In what order check into a mental hospital
MUSTDOC,X should be forced to be examined at a clinic by law
MUSTMED,X should be forced to take prescribed medication by law
MUSTHOSP,X should be admitted to be hospitalized for treatment by law
DANGRSLF,X should be admitted to be hospitalized for treatment if dangerous to x
DANGROTH,X should be admitted to be hospitalized for treatment if dangerous to others
MEDCARE1,Who R thinks should be most responsible for cost of xs medical care
MEDCARE2,Who R thinks should be next most responsible for cost of xs medical care
SPMENTL,Govt spending on health
GOVMENTL,Should govt provide health care for mental illness
MNTLAS1,"1st mention, what mental illness is, asserted"
MNTLAS2,"2nd mention, what mental illness is, asserted"
MNTLIMP1,"1st mention, what mental illness is, imputed"
MNTLIMP2,"2nd mention, what mental illness is, imputed"
MNTLIMP3,"3rd mention, what mental illness is, imputed"
MNTLSYM1,"1st mention, what mental illness is, symptoms"
MNTLSYM2,"2nd mention, what mental illness is, symptoms"
MNTLSYM3,"3rd mention, what mental illness is, symptoms"
MNTLOTH,"What mental illness is, other codes"
BRKDAS1,"1st mention, what nervous breakdown is, asserted"
BRKDAS2,"2nd mention, what nervous breakdown is, asserted"
BRKDIMP1,"1st mention, what nervous breakdown is, imputed"
BRKDIMP2,"2nd mention, what nervous breakdown is, imputed"
BRKDIMP3,"3rd mention, what nervous breakdown is, imputed"
BRKDSYM1,"1st mention, what nervous breakdown is, symptoms"
BRKDSYM2,"2nd mention, what nervous breakdown is, symptoms"
BRKDSYM3,"3rd mention, what nervous breakdown is, symptoms"
BRKDOTH,"What nervous breakdown is, other codes"
KNWMHOSP,Know anyone who was in a hospital
RELMHSP1,Patient was self
RELMHSP2,Patient was immediate family
RELMHSP3,Patient was other relatives
RELMHSP4,Patient was close friend
RELMHSP5,Patient was acquaintance
RELMHSP6,Patient was other
KNWPATNT,Known anyone seeing a psychologist etc?
EVBRKDWN,Ever felt going to have a nervous breakdown?
BRKDWHY1,1st mention cause of ner. break feelings
BRKDWHY2,2nd mention cause of ner. break feelings
BRKDWHY3,3rd mention cause of ner. break feelings
BRKDDO1,1st mention what R did when felt ner. break
BRKDDO2,2nd mention what R did when felt ner. break
BRKDDO3,3rd mention what R did when felt ner. break
BRKDHLP1,1st mention what help R sought
BRKDHLP2,2nd mention what help R sought
BRKDHLP3,3rd mention what help R sought
BRKDTIME,When feelings of nervous breakdown happened
BRKDDUR,"Duration, severity of nervous breakdown feelings"
EVMHP,Ever had mental health problem
MNILWHY1,1st mention cause of mental illness feelings
MNILWHY2,2nd mention cause of mental illness feelings
MNILWHY3,3rd mention cause of mental illness feelings
MNILDO1,1st mention what R did when felt mental illness
MNILDO2,2nd mention what R did when felt mental illness
MNILDO3,3rd mention what R did when felt mental illness
MNILHLP1,1st mention what help R sought
MNILHLP2,2nd mention what help R sought
MNILHLP3,3rd mention what help R sought
MNILTIME,When feelings of mental illness happened
MNILDUR,"Duration, severity of feelings of mental illness"
KNWMW1,Gender Identity of Person 1
KNWMW2,Gender Identity of Person 2
KNWMW3,Gender Identity of Person 3
KNWMW4,Gender Identity of Person 4
KNWMW5,Gender Identity of Person 5
MHP1R1,Relation to Person 1 (1st mentioned)
MHP1R2,Relation to Person 1 (2nd mentioned)
MHP2R1,Relation to Person 2 (1st mentioned)
MHP2R2,Relation to Person 2 (2nd mentioned)
MHP3R1,Relation to Person 3 (1st mentioned)
MHP3R2,Relation to Person 3 (2nd mentioned)
MHP4R1,Relation to Person 4 (1st mentioned)
MHP4R2,Relation to Person 4 (2nd mentioned)
