Variable,Description
NDTXSODR,NEED TRMT FOR USE OF SOME OTHER DRUG PAST 12 MOS
NDTXEFTR,MAKE EFFORT FOR TRMT OF TXFILL2 PAST 12 MONTHS
NDTXDG1R,OTHER DRUG NEEDED TRMT FOR PST 12 MOS - SPECIFY 1
NDTXDG2R,OTHER DRUG NEEDED TRMT FOR PST 12 MOS - SPECIFY 2
NDTXDG3R,OTHER DRUG NEEDED TRMT FOR PST 12 MOS - SPECIFY 3
NDTXDG4R,OTHER DRUG NEEDED TRMT FOR PST 12 MOS - SPECIFY 4
NDTXDG5R,OTHER DRUG NEEDED TRMT FOR PST 12 MOS - SPECIFY 5
YESCHFLT,HOW YOU FELT OVERALL ABT GOING TO SCHL PAST 12 MOS
YESCHWRK,HOW OFTEN FELT SCHL WORK MEANINGFUL PST 12 MOS
YESCHIMP,HOW IMPT THINGS LEARNED PST 12 MOS ARE GOING TO BE
YESCHINT,HOW INTERESTING ARE COURSES AT SCHL PAST 12 MONTHS
YETCGJOB,HOW OFTEN TCHR SAY DOING A GOOD JOB PAST 12 MONTHS
YELSTGRD,GRADES FOR LAST SEMESTER/GRADING PERIOD COMPLETED
YESTSCIG,HOW MANY SDNTS YOU KNOW IN GRADE SMOKE CIGARETTES
YESTSMJ,HOW MANY SDNTS YOU KNOW IN GRADE USE MJ/HASH
YESTSALC,HOW MANY SDNTS YOU KNOW IN GRADE DRINK ALCOHOL
YESTSDNK,HOW MANY SDNTS YOU KNOW GET DRUNK WEEKLY
YEPCHKHW,"PRNTS CHECK IF YOU""VE DONE HOMEWORK PST 12 MOS"
YEPHLPHW,PRNTS HELPED YOU W/HOMEWORK PAST 12 MONTHS
YEPCHORE,PRNTS MADE YOU DO WORK/CHORES PAST 12 MONTHS
YEPLMTTV,PRNTS LIMITED YOUR AMT OF TV TIME PST 12 MOS
YEPLMTSN,PRNTS LIMITED YOUR TIME OUT W/FRNDS PST 12 MOS
YEPGDJOB,PRNTS LET YOU KNOW DONE A GOOD JOB PST 12 MOS
YEPPROUD,"TELL YOU THEY""RE PROUD OF SOMETHING YOU""D DONE"
YEYARGUP,ARGUED/HAD A FIGHT WITH AT LEAST ONE OF YOUR PRNTS
YEYFGTSW,GOTTEN INTO A SERIOUS FIGHT AT SCHOOL/WORK
YEYFGTGP,TAKEN PART IN FIGHT WHERE GROUP FIGHTS GROUP
YEYHGUN,CARRIED A HANDGUN
YEYSELL,SOLD ILLEGAL DRUGS
YEYSTOLE,STOLEN/TRIED TO STEAL ANYTHING WORTH >$50
YEYATTAK,ATTACKED SOMEONE W/INTENT TO SERIOUSLY HURT THEM
YEPPKCIG,HOW PRNTS WLD FEEL: YOU SMOKING 1+ PACK CIGS/DAY
YEPMJEVR,HOW PRNTS WLD FEEL: YOU TRYING MJ/HASH
YEPMJMO,HOW PRNTS WLD FEEL: YOU USING MJ/HASH MONTHLY
YEPALDLY,HOW PRNTS WLD FEEL: YOU DRINKING ALC DAILY
YEGPKCIG,HOW YOU FEEL S/ONE YOUR AGE SMOKG 1+ PK CIGS/DY
YEGMJEVR,HOW YOU FEEL S/ONE YOUR AGE TRYING MJ/HASH
YEGMJMO,HOW YOU FEEL S/ONE YOUR AGE USING MJ/HASH MONTHLY
YEGALDLY,HOW YOU FEEL S/ONE YOUR AGE DRINKING ALC DLY
YEFPKCIG,HOW YOU FEEL FRIENDS SMOKING 1+ PACK CIGS/DAY
YEFMJEVR,HOW YOU FEEL FRIENDS USING MJ 1X/MO
YEFMJMO,HOW YOU FEEL FRIENDS USING MJ MONTHLY
YEFALDLY,HOW YOU FEEL FRIENDS DRINKING ALC DAILY
YETLKNON,THERE IS NOBODY I CAN TALK TO ABOUT SERIOUS PROBS
YETLKPAR,MY MOTHER/FATHER/GUARDIAN
YETLKBGF,MY BOYFRIEND/GIRLFRIEND
YETLKOTA,SOME OTHER ADULT
YETLKSOP,SOME OTHER PERSON
YEPRTDNG,HAVE YOU TALKED W/PARENT(S) ABT DANGER OF TOB/ALC
YEPRBSLV,PRBLM SOLVING/COMMUNICATION SKILLS/SELF-ESTEEM GR
YEVIOPRV,VIOLENCE PREVENTION PROGRAMS
YEDGPRGP,ALCOHOL/TOBACCO/DRUG PREV PGMS OUTSIDE SCHL
YESLFHLP,AA/ALATEEN/INDIVIDUAL OR GROUP COUNSELING
YEPRGSTD,PREGNANCY OR SEXUALLY TRANSMITTED DISEASE PGMS
YESCHACT,# OF SCHOOL-BASED ACT. PARTIC. IN PAST 12 MONTHS
YECOMACT,# OF COMM.-BASED ACT. PARTIC. IN PAST 12 MONTHS
YEFAIACT,# OF FAITH-BASED ACT. PARTIC. IN PAST 12 MONTHS
YEOTHACT,#  OF OTHER ACT. PARTIC. IN PAST 12 MONTHS
YEDECLAS,A SPECIAL CLASS ABOUT DRUGS OR ALCOHOL
YEDERGLR,FILMS/LECTURES/DISCUS/INFO ABOUT DRG/ALC IN CLASS
YEDESPCL,FILMS/LECTURES/DISCUS/INFO ABOUT DRG/ALC OUT CLAS
YEPVNTYR,SEEN/HEARD ALC/DRG PREV MESSAGES FRM SOURC OUT SC
YERLGSVC,"PAST 12 MOS, HOW MANY RELIG. SERVICES"
YERLGIMP,MY RELIGIOUS BELIEFS ARE VERY IMPORTANT
YERLDCSN,MY RELIGIOUS BELIEFS INFLUENCE MY DECISIONS
YERLFRND,IT IS IMPORTANT THAT MY FRIENDS SHARE REL BELIEFS
IRSTMRC,STIMULANT RECENCY - IMPUTATION REVISED
IISTMRC,STIMULANT RECENCY - IMPUTATION INDICATOR
IRSTMFY,STIMULANT FREQUENCY PAST YEAR - IMPUTATION REVISED
IISTMFY,STIM FREQUENCY PAST YEAR - IMPUTATION INDICATOR
IRMTHRC,METHAMPHETAMINE RECENCY - IMPUTATION REVISED
IIMTHRC,METHAMPHETAMINE RECENCY - IMPUTATION INDICATOR
IRMTHFY,METH FREQUENCY PAST YEAR - IMPUTATION REVISED
IIMTHFY,METH FREQUENCY PAST YEAR - IMPUTATION INDICATOR
II2STMFY,STIM FREQ PAST YEAR - DETAILED IMP INDICATOR
II2STMRC,STIMULANT RECENCY - DETAILED IMPUTATION INDICATOR
II2MTHRC,METHAMPHETAMINE RECENCY - DETAILED IMP INDICATOR
II2MTHFY,METH FREQ PAST YEAR - DETAILED IMP INDICATOR
STMFLAG,STIMULANTS - EVER USED
STMYR,STIMULANTS - PAST YEAR USE
STMMON,STIMULANTS - PAST MONTH USE
MTHFLAG,METHAMPHETAMINE - EVER USED
MTHYR,METHAMPHETAMINE - PAST YEAR USE
MTHMON,METHAMPHETAMINE - PAST MONTH USE
IRMTHAGE,IMPUTATION-REVISED METHAMPHETAMINE AGE FIRST USE
IIMTHAGE,IRMTHAGE IMPUTATION INDICATOR
IRSTMAGE,IMPUTATION-REVISED STIMULANTS AGE OF FIRST USE
IISTMAGE,IRSTMAGE IMPUTATION INDICATOR
IRSTMYFU,IMPUTATION-REVISED STIMULANTS YEAR OF FIRST USE
IISTMYFU,IRSTMYFU IMPUTATION INDICATOR
IRMTHYFU,IMPUTATION-REVISED METHAMPHETAMINE YEAR FIRST USE
IIMTHYFU,IRMTHYFU IMPUTATION INDICATOR
MEDICARE,COVERED BY MEDICARE
CHAMPUS,"COV BY TRICARE, CHAMPUS, CHAMPVA, VA, MILITARY"
PRVHLTIN,COVERED BY PRIVATE INSURANCE
GRPHLTIN,PRIVATE PLAN OFFERED THROUGH EMPLOYER OR UNION
HLTINALC,ALCOHOL ABUSE OR ALCOHOLISM
HLTINDRG,DRUG ABUSE
HLTINMNT,MENTAL OR EMOTIONAL DIFFICULTIES
HLTINNOS,COVERED BY HEALTH INSUR (NOT OTHERWISE SPECIFIED)
HLCNOTYR,ANYTIME DID NOT HAVE HEALTH INS/COVER PAST 12 MOS
HLCNOTMO,"PAST 12 MOS, HOW MANY MOS W/O COVERAGE"
HLCLAST,TIME SINCE LAST HAD HEALTH CARE COVERAGE
HLLOSRSN,MAIN REASON STOPPED COVERED BY HEALTH INSURANCE
HLNVCOST,COST TOO HIGH
HLNVOFFR,"EMPLOYER DOESN""T OFFER"
HLNVREF,INSURANCE COMPANY REFUSED COVERAGE
HLNVNEED,"DON""T NEED IT"
HLNVSOR,NEVER HAD HLTH INS SOME OTHER REASON
HLCALLFG,FLAG IF EVERY FORM OF HEALTH INS REPORTED
HLCALL99,YES TO MEDICARE/MEDICAID/CHAMPUS/PRVHLTIN
CAIDCHIP,COVERED BY MEDICAID/CHIP
IMOTHER,RC-MOTHER IN HH
IFATHER,RC-FATHER IN HH
SCHENRL,NOW ENROLLED IN ANY SCHOOL
SDNTFTPT,FULL OR PART TIME
SCHDSKIP,HOW MANY DAYS MISSED SCHOOL FROM SKIPPING
HSDIPLMA,RECEIVED DIPLOMA
HSGED,RECEIVED GED
SCHDSICK,HOW MANY DAYS MISSED SCHOOL FROM SICK
PREGAGE2,RC-PREGNANCY AGE CATEGORY RECODE
CATAG7,RC-AGE CATEGORY RECODE (7 LEVELS)
AGE2,RECODE - FINAL EDITED AGE
SEXRACE,RC-COMBINED GENDER BY RACE INDICATOR
SEXAGE,RC-COMBINED GENDER BY AGE CATEGORY INDICATOR
IRSEDRC,SEDATIVE RECENCY - IMPUTATION REVISED
IISEDRC,SEDATIVE RECENCY - IMPUTATION INDICATOR
IRSEDFY,SEDATIVE FREQUENCY PAST YEAR - IMPUTATION REVISED
IISEDFY,SEDATIVE FREQUENCY PAST YEAR - IMP INDICATOR
II2SEDRC,SEDATIVE RECENCY - DETAILED IMPUTATION INDICATOR
II2SEDFY,SEDATIVE FREQ PAST YEAR - DETAILED IMP INDICATOR
SEDFLAG,SEDATIVES - EVER USED
SEDYR,SEDATIVES - PAST YEAR USE
SEDMON,SEDATIVES - PAST MONTH USE
IRSEDAGE,IMPUTATION-REVISED SEDATIVES AGE OF FIRST USE
IISEDAGE,IRSEDAGE IMPUTATION INDICATOR
IRSEDYFU,IMPUTATION-REVISED SEDATIVES YEAR OF FIRST USE
IISEDYFU,IRSEDYFU IMPUTATION INDICATOR
PSYFLAG2,ANY PSYCHOTHERAPEUTICS - EVER USED
PSYYR2,ANY PSYCHOTHERAPEUTICS - PAST YEAR USE
PSYMON2,ANY PSYCHOTHERAPEUTICS - PAST MONTH USE
NDTXNHCV,"NOT GET TRMT COULDN""T AFFORD - NO HLTH CARE COVER"
NDTXLMCV,TREATMENT NOT COVERED ON HLTH CARE
NDTXNTSP,"NO TRANSPORTATION, TOO FAR AWAY, NOT CONVENIENT"
NDTXTYPE,TREATMENT NOT FOUND FOR TYPE WANTED
NDTXREDY,NOT READY TO STOP USING [TXFILL2]
NDTXOPEN,NO OPENINGS IN THE PROGRAMS
NDTXWHER,"DIDN""T KNOW WHERE TO GET TREATMENT"
NDTXNBR,TREATMENT MIGHT CAUSE NEIGHBRS TO HAVE NEG OPIN
NDTXJOB,TREATMENT MIGHT HAVE NEG. EFFECT ON JOB
NDTXSOR,SOME OTHER REASON OR REASONS
NDMRNHCV,"NOT GET TRMT COULDN""T AFFORD - NO HLTH CARE COVER"
NDMRLMCV,TREATMENT NOT COVERED ON HLTH CARE
NDMRNTSP,"NO TRANSPORTATION, TOO FAR AWAY, NOT CONVENIENT"
NDMRTYPE,TREATMENT NOT FOUND FOR TYPE WANTED
NDMRREDY,NOT READY TO STOP USING ALCOHOL OR DRUGS
NDMROPEN,NO OPENINGS IN THE PROGRAMS
NDMRWHER,"DIDN""T KNOW WHERE TO GET TREATMENT"
NDMRNBR,TREATMENT MIGHT CAUSE NEIGHBRS TO HAVE NEG. OPIN
NDMRJOB,TREATMENT MIGHT HAVE NEG. EFFECT ON JOB
NDMRSOR,SOME OTHER REASON OR REASONS
IICOCFY,COCAINE FREQUENCY PAST YEAR - IMPUTATION INDICATOR
II2COCFY,COCAINE FREQ PAST YEAR - DETAILED IMPUTATION INDICATOR
II2CRKFM,CRACK FREQUENCY PAST MONTH - DETAILED IMPUTATION INDICATOR
IICOCFM,COCAINE FREQUENCY PAST MONTH - IMPUTATION INDICATOR
II2COCFM,COCAINE FREQUENCY PAST MONTH - DETAILED IMPUTATION INDICATOR
IRCOCRC,COCAINE RECENCY - IMPUTATION REVISED
IICOCRC,COCAINE RECENCY - IMPUTATION INDICATOR
II2COCRC,COCAINE RECENCY - DETAILED IMPUTATION INDICATOR
II2CRKRC,CRACK RECENCY - DETAILED IMPUTATION INDICATOR
II2CRKFY,CRACK FREQ PAST YEAR - DETAILED IMPUTATION INDICATOR
IRCOCFM,COCAINE FREQUENCY PAST MONTH - IMPUTATION REVISED
IRCOCFY,COCAINE FREQUENCY PAST YEAR - IMPUTATION REVISED
IICRKFM,CRACK FREQUENCY PAST MONTH - IMPUTATION INDICATOR
IRCRKRC,CRACK RECENCY - IMPUTATION REVISED
IICRKRC,CRACK RECENCY - IMPUTATION INDICATOR
IRCRKFY,CRACK FREQUENCY PAST YEAR - IMPUTATION REVISED
IICRKFY,CRACK FREQUENCY PAST YEAR - IMPUTATION INDICATOR
IRCRKFM,CRACK FREQUENCY PAST MONTH - IMPUTATION REVISED
COCFLAG,RC-COCAINE - EVER USED
COCYR,RC-COCAINE - PAST YEAR USE
COCMON,RC-COCAINE - PAST MONTH USE
CRKFLAG,"RC-""CRACK"" - EVER USED"
CRKYR,"RC-""CRACK"" - PAST YEAR USE"
CRKMON,"RC-""CRACK"" - PAST MONTH USE"
IRCRKAGE,CRACK AGE OF FIRST USE - IMPUTATION REVISED
IICRKAGE,CRACK AGE OF FIRST USE - IMPUTATION INDICATOR
IRCOCAGE,COCAINE AGE OF FIRST USE - IMPUTATION REVISED
IICOCAGE,COCAINE AGE OF FIRST USE - IMPUTATION INDICATOR
IRCOCYFU,COCAINE YEAR OF FIRST USE - IMPUTATION REVISED
IICOCYFU,COCAINE YEAR OF FIRST USE - IMPUTATION INDICATOR
IRCRKYFU,CRACK YEAR OF FIRST USE - IMPUTATION REVISED
IICRKYFU,CRACK YEAR OF FIRST USE - IMPUTATION INDICATOR
IRHERRC,HEROIN RECENCY - IMPUTATION REVISED
IIHERRC,HEROIN RECENCY - IMPUTATION INDICATOR
IRHERFM,HEROIN FREQUENCY PAST MONTH - IMPUTATION REVISED
IIHERFM,HEROIN FREQUENCY PAST MONTH - IMPUTATION INDICATOR
IRHERFY,HEROIN FREQUENCY PAST YEAR - IMPUTATION REVISED
IIHERFY,HEROIN FREQUENCY PAST YEAR - IMPUTATION INDICATOR
II2HERFM,HEROIN FREQ PAST MONTH - DETAILED IMPUTATION INDICATOR
II2HERRC,HEROIN RECENCY - DETAILED IMPUTATION INDICATOR
II2HERFY,HEROIN FREQ PAST YEAR - DETAILED IMPUTATION INDICATOR
HERFLAG,RC-HEROIN - EVER USED
HERYR,RC-HEROIN - PAST YEAR USE
HERMON,RC-HEROIN - PAST MONTH USE
IRHERAGE,HEROIN AGE OF FIRST USE - IMPUTATION REVISED
IIHERAGE,HEROIN AGE OF FIRST USE - IMPUTATION INDICATOR
IRHERYFU,HEROIN YEAR OF FIRST USE - IMPUTATION REVISED
IIHERYFU,HEROIN YEAR OF FIRST USE - IMPUTATION INDICATOR
SUMFLAG,ANY ILLICIT DRUG - EVER USED
SUMYR,ANY ILLICIT DRUG - PAST YEAR USE
SUMMON,ANY ILLICIT DRUG - PAST MONTH USE
MJOFLAG,MARIJUANA ONLY - EVER USED
MJOYR2,MARIJUANA ONLY - PAST YEAR USE
MJOMON2,MARIJUANA ONLY - PAST MONTH USE
IEMFLAG,ILLICIT DRUG OTHER THAN MARIJUANA - EVER USED
IEMYR,ILLICIT DRUG OTHER THAN MARIJUANA - PAST YEAR USED
IEMMON,ILLICIT DRUG OTHER THAN MARIJUANA-PAST MONTH USED
WRKEDYR,"PAST 12 MOS, WORKED AT ANY JOB"
WRKSLFEM,"PAST 12 MOS, SELF EMPLOYED"
WRKUNEMP,"PAST 12 MOS, TIME WITH NO JOB"
WRKUNWKS,HOW MANY WKS W/O JOB IN PAST 12 MOS
WORKDAYS,# DAYS MISSED WORK FOR INJURY/ILLNESS PAST 30 DAYS
WORKBLAH,# DAYS SKIPPED WORK PAST 30 DAYS
LOCSIZE,"# PEOPLE THAT WORK FOR EMPLOYER - RESP""S LOCATION"
DRGPLCY,WORKPLACE HAVE WRITTEN POLICY DRUG/ALCOHOL USE
PLCYCOV,"DID POLICY COVER ALCOHOL, DRUGS, OR  BOTH"
WKDRGED,"AT WORK, GIVEN EDUCATION ON DRUGS/ALC"
DRGPRGM,ANY ASSISTANCE PROGRAM OFFERED THROUGH WRK
USALCTST,WORKPLACE TESTS FOR ALCOHOL USAGE
USDRGTST,WORKPLACE TESTS FOR DRUG USAGE
TSTHIRE,TEST FOR DRUG/ALC AS HIRING PROCESS
TSTRAND,TEST ON RANDOM BASIS
FIRSTPOS,WHAT HAPPENS FIRST TIME CAUGHT
WRKHIRE,WOULD YOU WORK FOR EMP DOES DRUG TEST PRE-HIRE
WORKRAND,WOULD YOU WORK FOR EMP DOES DRUG/ALC TEST RANDOMLY
BOOKED,EVER ARRESTED AND BOOKED FOR BREAKING THE LAW
BKMVTHFT,ARRSTD & BOOKED FOR MOT VEH THEFT PAST 12 MONTHS
BKLARCNY,ARRSTD & BOOKED FOR LARCENY/THEFT PAST 12 MONTHS
BKBURGL,ARRSTD & BOOKED FOR BURGLARY/B & E PAST 12 MOS
BKAGASLT,ARRSTD & BOOKED FOR AGGRAVATED ASSAULT PAST 12 MOS
BKSMASLT,ARRSTD & BOOKED FOR OTHER ASSAULT PAST 12 MONTHS
BKROB,ARRSTD & BOOKED FOR ROBBERY PAST 12 MONTHS
BKRAPE,ARRSTD & BOOKED FOR FORCIBLE RAPE PAST 12 MONTHS
BKMURDER,ARRSTD & BOOKED FOR MURDER/HOMICIDE PAST 12 MONTHS
BKARSON,ARRSTD & BOOKED FOR ARSON PAST 12 MONTHS
BKDRVINF,ARRSTD & BOOKED FOR DUI PAST 12 MONTHS
BKDRUNK,ARRSTD & BOOKED FOR DRUNKENNESS PAST 12 MONTHS
BKPOSTOB,ARRSTD & BOOKED FOR POSSES OF TOB PAST 12 MOS
BKDRUG,ARRSTD & BOOKED FOR POSSES/SALE DRUGS PAST 12 MOS
BKPROS,ARRSTD & BOOKED FOR PROSTITUTION PAST 12 MONTHS
BKSEXOFF,ARRSTD & BOOKED FOR OTH SEX OFFENSE PST 12 MOS
BKFRAUD,ARRSTD & BOOKED FOR FRAUD/STOL GOODS PAST 12 MOS
BKOTH,ARRSTD & BOOKED FOR SOME OTHER OFF PAST 12 MOS
PROBATON,ON PROBATION AT ANY TIME PAST 12 MONTHS
PAROLREL,ON PAROLE/SUPRV RELEASE PAST 12 MONTHS
DRVALDR,DROVE UNDER INFLU OF ALC & ILL DRUGS PAST 12 MOS
DRVAONLY,DROVE UNDER INFLU OF ALC/ALC ONLY PST 12 MOS
DRVDONLY,DROVE UNDER INFLU OF DRUGS/DRUGS ONLY PST 12 MOS
IRPSOC,IMP. REVISED - RESP RECEIVE SS OR RR PAYMENTS
IIPSOC,IRPSOC - IMPUTATION INDICATOR
IRFAMSOC,FAM RECEIVE SS OR RR PAYMENTS - IMPUTATION REVISED
IIFAMSOC,FAM RECEIVE SS OR RR PAYMENTS - IMPUTATION INDICATOR
IRPSSI,IMP. REVISED - RESP RECEIVE SSI
IIPSSI,IRPSSI - IMPUTATION INDICATOR
IRFAMSSI,FAM RECEIVE SSI - IMPUTATION REVISED
IIFAMSSI,FAM RECEIVE SSI - IMPUTATION INDICATOR
IRFSTAMP,RESP/OTH FAM MEM REC FOOD STAMPS - IMPUTATION REVISED
IIFSTAMP,RESP/OTH FAM MEM REC FOOD STAMPS - IMPUTATION INDICATOR
IRPPMT,IMP. REVISED - RESP RECEIVE PUBLIC ASSIST
IIPPMT,IRPPMT - IMPUTATION INDICATOR
IRFAMPMT,FAM RECEIVE PUBLIC ASSIST - IMPUTATION REVISED
IIFAMPMT,FAM RECEIVE PUBLIC ASSIST - IMPUTATION INDICATOR
IRPSVC,IMP. REVISED - RESP REC WELFARE/JOB PL/CHILD CARE
IIPSVC,IRPSVC - IMPUTATION INDICATOR
IRFAMSVC,FAM REC WELFARE/JOB PL/CHILDCARE - IMPUTATION REVISED
IIFAMSVC,FAM REC WELFARE/JOB PL/CHILDCARE - IMPUTATION INDICATOR
IRWELMOS,NO OF MONTHS ON WELFARE - IMPUTATION REVISED
IIWELMOS,NO OF MONTHS ON WELFARE - IMPUTATION INDICATOR
IRPINT,IMP. REVISED - RESP REC INTEREST SAVING/DIVIDEND
IIPINT,IRPINT - IMPUTATION INDICATOR
IRFAMINT,IMP. REV - FAM REC INTEREST SAVING/DIVIDEND
IIFAMINT,IRFAMINT - IMPUTATION INDICATOR
IRPCHD,IMP. REVISED - RESP REC CHILD SUPPORT PAYMENTS
IIPCHD,IRPCHD - IMPUTATION INDICATOR
IRFAMCHD,IMP. REVISED - FAM REC CHILD SUPPORT PAYMENTS
IIFAMCHD,IRFAMCHD - IMPUTATION INDICATOR
IRPWAG,IMP. REVISED - RESP RECEIVE INCOME FROM JOB
IIPWAG,IRPWAG - IMPUTATION INDICATOR
IRFAMWAG,IMP. REVISED - FAM REC INCOME FROM JOB
IIFAMWAG,IRFAMWAG - IMPUTATION INDICATOR
IRPOTH,IMP. REVISED - RESP REC OTH INCOME FROM OTH SOURCE
IIPOTH,IRPOTH - IMPUTATION INDICATOR
IRFAMOTH,IMP. REVISED - FAM REC OTH INC FR OTH SOURCE
IIFAMOTH,IRFAMOTH - IMPUTATION INDICATOR
GOVTPROG,RC-PARTICIPATED IN ONE OR MORE GOVT ASSIST PROGR
INCOME,RC-TOTAL FAMILY INCOME RECODE
PEYOTE2,RC-EVER USED PEYOTE
MESC2,RC-EVER USED MESCALINE
PSILCY2,RC-EVER USED PSILOCYBIN (MUSHROOMS)
HERSMOK2,RC-EVER SMOKED HEROIN
HERSNIF2,RC-EVER SNIFFED HEROIN
AMYLNIT2,"RC-EVER INHALED AMYL NITRITE, ""POPPERS"", RUSH, ETC."
CLEFLU2,"RC-EVER INHALED CORRECTION FLUID, DEGREASER, ETC."
GAS2,RC-EVER INHALED GASOLINE OR LIGHTER FLUID
GLUE2,"RC-EVER INHALED GLUE, SHOE POLISH, OR TOLUENE"
ETHER2,"RC-EVER INHALED HALOTHANE, ETHER, OR OTHER ANESTHETIC"
SOLVENT2,"RC-EVER INHALED LACQUER THINNER, OTHER PAINT SOLVENTS"
LGAS2,"RC-EVER INHALED LIGHTER GASES (BUTANE, PROPANE)"
NITOXID2,"RC-EVER INHALED NITROUS OXIDE OR ""WHIPPITS"""
SPPAINT2,RC-EVER INHALED SPRAY PAINTS
AEROS2,EVER INHALED OTHER AEROSOL SPRAYS
METHDES2,"EVER USED METHAMPHETAMINE, DESOXYN, OR METHEDRINE"
DIETPIL2,EVER USED DIET PILLS
RITMPHE2,EVER USED RITALIN/METHYLPHENIDATE
METHAQ2,"EVER USED METHAQUALONE, SOPOR, QUALLUDE"
NEMBBAR2,EVER USED BARBITURATES
RESTTMA2,EVER USED RESTORIL OR TEMAZEPAM
KLONOPI2,EVER USED KLONOPIN OR CLONAZEPAM
XNAXATV2,"EVER USED XANAX, ALPRAZOLAM, ATIVAN"
VALMDIA2,EVER USED VALIUM OR DIAZEPAM
DARVTYL2,"EVER USED DARVOCET, DARVON, TYLENOL W/CODEINE"
PERCTYL2,"EVER USED PERCOCET, PERCODAN, TYLOX"
VICOLOR2,"EVER USED VICODIN, LORTAB, LORCET"
OTHSTM,EVER USED OTHER STIMULANTS
OTHSED,EVER USED OTHER SEDATIVES
OTHTRN,EVER USED OTHER TRANQUILIZERS
OTHANL,EVER USED OTHER PAIN RELIEVERS
BINGEHVY,LEVEL OF ALCOHOL USE IN PAST MONTH
CODEINE2,EVER USED CODEINE
DEMEROL2,EVER USED DEMEROL
DILAUD2,EVER USED DILAUDID
FIORICT2,EVER USED FIORICET
FIORINL2,EVER USED FIORINAL
HYDROCD2,EVER USED HYDROCODONE
METHDON2,EVER USED METHADONE
MORPHIN2,EVER USED MORPHINE
OXYCONT2,EVER USED OXYCONTIN
PHENCOD2,EVER USED PHENAPHEN WITH CODEINE
PROPOXY2,EVER USED PROPOXYPHENE
SK65A2,EVER USED SK65
STADOL2,EVER USED STADOL
TALACEN2,EVER USED TALACEN
TALWIN2,EVER USED TALWIN
TALWINX2,EVER USED TALWIN NX
TRAMADL2,EVER USED TRAMADOL
ULTRAM2,EVER USED ULTRAM
ATARAX2,EVER USED ATARAX
BUSPAR2,EVER USED BUSPAR
EQUANIL2,EVER USED EQUANIL
FLEXERL2,EVER USED FLEXERIL
LIBRIUM2,EVER USED LIBRIUM
LIMBTRL2,EVER USED LIMBITROL
MEPROB2,EVER USED MEPROBAMATE
MILTOWN2,EVER USED MILTOWN
ROHYPNL2,EVER USED ROHYPNOL
SERAX2,EVER USED SERAX
SOMA2,EVER USED SOMA
TRANXEN2,EVER USED TRANXENE
VISTAR2,EVER USED VISTARIL
CYLERT2,EVER USED CYLERT
DEXED2,EVER USED DEXEDRINE
DETAMP2,EVER USED DEXTROAMPHETAMINE
DIDREX2,EVER USED DIDREX
ESKAT2,EVER USED ESKATROL
IONAMIN2,EVER USED IONAMIN
MAZANOR2,EVER USED MAZANOR
OBLA2,EVER USED OBEDRIN-LA
PLEGINE2,EVER USED PLEGINE
PRELUDN2,EVER USED PRELUDIN
SANOREX2,EVER USED SANOREX
TENUATE2,EVER USED TENUATE
AMYTAL2,EVER USED AMYTAL
BUTISOL2,EVER USED BUTISOL
CHHYD2,EVER USED CHLORAL HYDRATE
DALMANE2,EVER USED DALMANE
HALCION2,EVER USED HALCION
PHENOBR2,EVER USED PHENOBARBITAL
PLACIDY2,EVER USED PLACIDYL
TUINAL2,EVER USED TUINAL
NEDHER,RC-EVER USED A NEEDLE TO INJECT HEROIN
NEDCOC,RC-EVER USED A NEEDLE TO INJECT COCAINE
NEDSTM,EVER USED A NEEDLE TO INJECT STIMULANT
NEDMTH,EVER USED A NEEDLE TO INJECT METHAMPHETAMINE
NEDFLG01,EVER USED A NEEDLE TO INJECT ANY DRUG
MMGETMJ,HOW DID YOU GET LAST MARIJUANA USED
MMBTREC1,TIME SINCE YOU LAST BOUGHT MARIJUANA
MMBTPYR,BOUGHT MARIJUANA PAST 12 MONTHS
MMBTREC2,TIME SINCE YOU LAST BOUGHT MARIJUANA
MMBT30DY,# DAYS BOUGHT MARIJUANA PAST 30 DAYS
MMJNTLOO,LAST MARIJUANA BOUGHT IN JOINTS OR LOOSE
MMJNTNUM,# MARIJUANA JOINTS BOUGHT LAST TIME
MMJNPCTB,AMOUNT PAID FOR LAST MARIJUANA JOINTS BOUGHT
MMJNPCAT,PRICE CATEGORY OF LAST MARIJUANA JOINTS BOUGHT
MMLSUNIT,"AMT OF MARIJUANA BOUGHT LAST TIME: GRMS,OZ,LBS"
MMLSGMS,AMT OF MARIJUANA BOUGHT LAST TIME - GRAMS
MMLS10GM,AMT OF MARIJUANA BOUGHT LAST TIME - OVER 10 GRAMS
MMLSOZS,AMT OF MARIJUANA BOUGHT LAST TIME - OUNCES
MMLSLBS,AMT OF MARIJUANA BOUGHT LAST TIME - POUNDS
MMLS5LBS,AMT OF MARIJUANA BOUGHT LAST TIME - OVER 5 POUNDS
MMLSPCTB,AMOUNT PAID FOR MARIJUANA BOUGHT LAST TIME
MMLSPCAT,PRICE CATEGORY OF LAST LOOSE MARIJUANA BOUGHT
MMBUYWHO,WHO SOLD YOU LAST MARIJUANA BOUGHT
MMBPLACE,WHERE YOU WERE LAST TIME BOUGHT MARIJUANA
MMBCLOSE,HOW NEAR YOU WHEN BOUGHT MARIJUANA LAST TIME
MMBSELL,SELL ANY MARIJUANA BOUGHT LAST TIME
